system:time_start;0;NPP8
Apr 30;2012;292.543
May 8;2012;242.028
May 16;2012;287.821
May 24;2012;304.494
Jun 1;2012;217.637
Jun 9;2012;273.683
Jun 17;2012;242.781
Jun 25;2012;289.308
Jul 3;2012;283.679
Jul 11;2012;231.677
Jul 19;2012;312.218
Jul 27;2012;303.487
Aug 4;2012;334.132
Aug 12;2012;356.786
Aug 20;2012;389.329
Aug 28;2012;381.676
Sep 5;2012;371.966
Sep 13;2012;351.996
Sep 21;2012;311.209
Sep 29;2012;456.660
Oct 7;2012;426.787
Oct 15;2012;378.934
Oct 23;2012;351.641
Oct 31;2012;372.974
Nov 8;2012;311.073
Nov 16;2012;473.437
Nov 24;2012;412.857
Dec 2;2012;484.663
Dec 10;2012;356.147
Dec 18;2012;476.848
Dec 26;2012;309.950
Jan 1;2013;362.337
Jan 9;2013;253.391
Jan 17;2013;442.545
Jan 25;2013;358.725
Feb 2;2013;305.107
Feb 10;2013;355.886
Feb 18;2013;460.473
Feb 26;2013;317.256
Mar 6;2013;306.622
Mar 14;2013;275.385
Mar 22;2013;300.226
Mar 30;2013;321.452
Apr 7;2013;276.530
Apr 15;2013;357.066
Apr 23;2013;348.227
May 1;2013;323.058
May 9;2013;322.789
May 17;2013;251.330
May 25;2013;229.590
Jun 2;2013;274.922
Jun 10;2013;264.272
Jun 18;2013;258.380
Jun 26;2013;245.886
Jul 4;2013;285.321
Jul 12;2013;294.808
Jul 20;2013;211.111
Jul 28;2013;310.537
Aug 5;2013;307.097
Aug 13;2013;289.705
Aug 21;2013;335.625
Aug 29;2013;325.787
Sep 6;2013;414.164
Sep 14;2013;344.092
Sep 22;2013;356.135
Sep 30;2013;319.987
Oct 8;2013;427.512
Oct 16;2013;392.005
Oct 24;2013;406.706
Nov 1;2013;352.226
Nov 9;2013;453.156
Nov 17;2013;385.417
Nov 25;2013;348.168
Dec 3;2013;471.324
Dec 11;2013;410.603
Dec 19;2013;364.702
Dec 27;2013;223.563
Jan 1;2014;498.132
Jan 9;2014;488.039
Jan 17;2014;457.655
Jan 25;2014;485.049
Feb 2;2014;477.951
Feb 10;2014;388.561
Feb 18;2014;435.460
Feb 26;2014;369.374
Mar 6;2014;329.614
Mar 14;2014;393.483
Mar 22;2014;378.145
Mar 30;2014;355.979
Apr 7;2014;328.304
Apr 15;2014;291.699
Apr 23;2014;316.342
May 1;2014;327.694
May 9;2014;311.763
May 17;2014;259.241
May 25;2014;240.432
Jun 2;2014;261.267
Jun 10;2014;273.134
Jun 18;2014;251.862
Jun 26;2014;269.184
Jul 4;2014;251.597
Jul 12;2014;284.581
Jul 20;2014;238.018
