system:time_start;0;;GPP
Oct;16;2013;767.153
Oct;24;2013;791.194
Nov;1;2013;705.266
Nov;9;2013;949.883
Nov;17;2013;726.189
Nov;25;2013;705.090
Dec;3;2013;974.744
Dec;11;2013;924.170
Dec;19;2013;899.420
Dec;27;2013;478.006
Jan;1;2014;1010.177
Jan;9;2014;961.448
Jan;17;2014;940.307
Jan;25;2014;920.631
Feb;2;2014;849.639
Feb;10;2014;696.852
Feb;18;2014;888.611
Feb;26;2014;770.999
Mar;6;2014;715.795
Mar;14;2014;740.078
Mar;22;2014;792.933
Mar;30;2014;739.293
Apr;7;2014;664.770
Apr;15;2014;572.347
Apr;23;2014;603.332
May;1;2014;644.794
May;9;2014;616.964
May;17;2014;467.162
May;25;2014;469.764
Jun;2;2014;505.679
Jun;10;2014;527.443
Jun;18;2014;482.254
Jun;26;2014;538.634
Jul;4;2014;495.403
Jul;12;2014;564.906
Jul;20;2014;472.098
Jul;28;2014;589.314
Aug;5;2014;602.238
Aug;13;2014;569.390
Aug;21;2014;607.006
Aug;29;2014;678.381
Sep;6;2014;784.723
Sep;14;2014;660.815
Sep;22;2014;721.186
Sep;30;2014;795.269
Oct;8;2014;845.638
Oct;16;2014;842.655
Oct;24;2014;823.780
Nov;1;2014;766.997
Nov;9;2014;828.253
Nov;17;2014;964.923
Nov;25;2014;793.349
Dec;3;2014;955.991
Dec;11;2014;906.575
Dec;19;2014;761.410
Dec;27;2014;501.260
Jan;1;2015;772.521
Jan;9;2015;773.586
Jan;17;2015;694.496
Jan;25;2015;573.426
Feb;2;2015;579.771
Feb;10;2015;646.987
Feb;18;2015;811.939
Feb;26;2015;892.398
Mar;6;2015;489.117
Mar;14;2015;591.564
Mar;22;2015;721.971
Mar;30;2015;740.751
Apr;7;2015;786.756
Apr;15;2015;611.884
Apr;23;2015;680.003
May;1;2015;598.795
May;9;2015;561.337
May;17;2015;515.074
May;25;2015;470.604
Jun;2;2015;551.803
Jun;10;2015;464.279
Jun;18;2015;415.594
Jun;26;2015;512.891
Jul;4;2015;399.880
Jul;12;2015;479.539
Jul;20;2015;448.008
Jul;28;2015;608.332
Aug;5;2015;660.939
Aug;13;2015;654.104
Aug;21;2015;574.438
Aug;29;2015;635.975
Sep;6;2015;482.174
Sep;14;2015;725.814
Sep;22;2015;647.725
Sep;30;2015;719.984
Oct;8;2015;777.437
Oct;16;2015;743.776
Oct;24;2015;775.181
Nov;1;2015;688.663
Nov;9;2015;846.380
Nov;17;2015;754.079
Nov;25;2015;856.937
Dec;3;2015;784.719
