system:time_start;0;GPP
Oct 8;2011;699.249
Oct 15;2011;654.347
Oct 24;2011;840.199
Nov 1;2011;944.512
Nov 9;2011;810.646
Nov 17;2011;773.239
Nov 25;2011;603.485
Dec 3;2011;692.607
Dec 11;2011;726.831
Dec 19;2011;860.684
Dec 27;2011;566.350
Jan 1;2012;706.502
Jan 9;2012;758.479
Jan 17;2012;902.588
Jan 25;2012;802.413
Feb 2;2012;1080.910
Feb 10;2012;859.068
Feb 18;2012;746.869
Feb 26;2012;871.181
Mar 5;2012;828.321
Mar 13;2012;731.775
Mar 21;2012;710.070
Mar 29;2012;671.347
Apr 6;2012;641.979
Apr 14;2012;704.771
Apr 22;2012;588.081
Apr 30;2012;567.825
May 8;2012;470.073
May 16;2012;558.621
May 24;2012;591.130
Jun 1;2012;422.425
Jun 9;2012;531.691
Jun 17;2012;471.429
Jun 25;2012;561.831
Jul 3;2012;550.715
Jul 11;2012;449.866
Jul 19;2012;606.270
Jul 27;2012;589.047
Aug 4;2012;648.611
Aug 12;2012;691.974
Aug 20;2012;755.512
Aug 28;2012;740.312
Sep 5;2012;721.778
Sep 13;2012;682.903
Sep 21;2012;603.786
Sep 29;2012;885.696
Oct 7;2012;827.652
Oct 15;2012;733.944
Oct 23;2012;681.763
Oct 31;2012;723.561
Nov 8;2012;603.436
Nov 16;2012;918.493
Nov 24;2012;800.719
Dec 2;2012;940.342
Dec 10;2012;690.936
Dec 18;2012;924.900
Dec 26;2012;601.539
Jan 1;2013;716.429
Jan 9;2013;501.218
Jan 17;2013;876.139
Jan 25;2013;709.691
Feb 2;2013;603.038
Feb 10;2013;703.654
Feb 18;2013;909.162
Feb 26;2013;625.135
Mar 6;2013;604.736
Mar 14;2013;543.858
Mar 22;2013;592.794
Mar 30;2013;636.206
Apr 7;2013;546.486
Apr 15;2013;706.522
Apr 23;2013;688.389
May 1;2013;638.753
May 9;2013;638.485
May 17;2013;496.799
May 25;2013;454.292
Jun 2;2013;544.643
Jun 10;2013;523.902
Jun 18;2013;511.190
Jun 26;2013;486.437
Jul 4;2013;564.618
Jul 12;2013;583.179
Jul 20;2013;417.445
Jul 28;2013;614.351
Aug 5;2013;607.324
Aug 13;2013;572.772
Aug 21;2013;662.606
Aug 29;2013;643.446
Sep 6;2013;818.909
Sep 14;2013;678.991
Sep 22;2013;702.271
Sep 30;2013;631.526
Oct 8;2013;844.327
Oct 16;2013;774.214
Oct 24;2013;802.162
Nov 1;2013;694.472
Nov 9;2013;894.337
Nov 17;2013;761.304
Nov 25;2013;686.978
Dec 3;2013;930.683
Dec 11;2013;810.292
Dec 19;2013;719.763
Dec 27;2013;441.442
Jan 1;2014;975.575
Jan 9;2014;955.482
Jan 17;2014;896.532
Jan 25;2014;948.876
Feb 2;2014;935.638
Feb 10;2014;760.129
Feb 18;2014;851.990
Feb 26;2014;722.495
Mar 6;2014;644.402
Mar 14;2014;770.036
Mar 22;2014;740.618
Mar 30;2014;696.902
Apr 7;2014;642.861
Apr 15;2014;570.819
Apr 23;2014;619.796
May 1;2014;641.554
May 9;2014;610.655
May 17;2014;507.725
May 25;2014;470.736
Jun 2;2014;511.716
Jun 10;2014;535.409
Jun 18;2014;493.500
Jun 26;2014;527.511
Jul 4;2014;492.998
Jul 12;2014;557.929
Jul 20;2014;466.200
Jul 28;2014;577.922
Aug 5;2014;623.449
Aug 13;2014;558.861
Aug 21;2014;633.036
Aug 29;2014;665.159
Sep 6;2014;793.272
Sep 14;2014;660.190
Sep 22;2014;738.946
Sep 30;2014;778.600
Oct 8;2014;817.817
Oct 16;2014;819.068
Oct 24;2014;812.345
Nov 1;2014;812.143
Nov 9;2014;751.322
Nov 17;2014;848.929
Nov 25;2014;830.760
Dec 3;2014;975.310
Dec 11;2014;849.410
Dec 19;2014;723.115
Dec 27;2014;447.468
Jan 1;2015;752.411
Jan 9;2015;780.771
Jan 17;2015;688.227
Jan 25;2015;573.775
Feb 2;2015;513.237
Feb 10;2015;691.029
Feb 18;2015;817.253
Feb 26;2015;782.593
