system:time_start;0;;NPP8
Oct;16;2014;442.386
Oct;24;2014;432.260
Nov;1;2014;402.363
Nov;9;2014;434.876
Nov;17;2014;506.385
Nov;25;2014;416.122
Dec;3;2014;502.084
Dec;11;2014;476.437
Dec;19;2014;400.502
Dec;27;2014;263.342
Jan;1;2015;388.183
Jan;9;2015;389.778
Jan;17;2015;349.538
Jan;25;2015;288.664
Feb;2;2015;291.563
Feb;10;2015;326.477
Feb;18;2015;410.093
Feb;26;2015;449.670
Mar;6;2015;246.633
Mar;14;2015;298.368
Mar;22;2015;363.334
Mar;30;2015;372.548
Apr;7;2015;398.139
Apr;15;2015;308.912
Apr;23;2015;344.081
May;1;2015;303.328
May;9;2015;284.076
May;17;2015;260.652
May;25;2015;237.774
Jun;2;2015;279.036
Jun;10;2015;234.601
Jun;18;2015;208.895
Jun;26;2015;259.590
Jul;4;2015;202.443
Jul;12;2015;241.918
Jul;20;2015;225.030
Jul;28;2015;307.017
Aug;5;2015;333.340
Aug;13;2015;329.492
Aug;21;2015;289.554
Aug;29;2015;319.757
Sep;6;2015;242.829
Sep;14;2015;365.351
Sep;22;2015;325.078
Sep;30;2015;362.588
Oct;8;2015;391.817
Oct;16;2015;374.159
Oct;24;2015;390.473
Nov;1;2015;347.359
Nov;9;2015;427.357
Nov;17;2015;380.431
Nov;25;2015;432.579
Dec;3;2015;396.447
Dec;11;2015;450.121
Dec;19;2015;480.413
Dec;27;2015;218.448
Jan;1;2016;460.564
Jan;9;2016;310.626
Jan;17;2016;419.767
Jan;25;2016;474.040
Feb;2;2016;494.165
Feb;10;2016;446.200
Feb;18;2016;309.584
Feb;26;2016;286.544
Mar;5;2016;374.418
Mar;13;2016;420.238
Mar;21;2016;345.498
Mar;29;2016;353.117
Apr;6;2016;442.877
Apr;14;2016;390.272
Apr;22;2016;280.866
Apr;30;2016;338.639
May;8;2016;245.183
May;16;2016;209.575
May;24;2016;244.785
Jun;1;2016;173.158
Jun;9;2016;269.755
Jun;17;2016;250.662
Jun;25;2016;264.598
